time (s),/Bin<1> (V),Expression ,Value,Value,time (s),/Bin<0> (V),/Ain<0> (V),,
1.81E-08,1.8, , , ,4.19E-09,1.8,2.27E-01,,
1.81E-08,1.8, , , ,4.19E-09,1.8,1.14E-01,,
1.81E-08,1.8, , , ,4.20E-09,1.8,0,,
1.81E-08,1.8, , , ,4.20E-09,1.8,0,,
1.62E-08,1.8, , , ,4.21E-09,1.8,0,,
1.81E-08,1.8, , , ,4.21E-09,1.8,0,,
1.81E-08,1.8, , , ,4.21E-09,1.8,0,,
1.80E-08,1.8, , , ,4.22E-09,1.8,0,,
1.80E-08,1.8, , , ,4.22E-09,1.8,0,,
1.80E-08,1.8, , , ,4.23E-09,1.8,0,,
1.80E-08,1.8, , , ,4.23E-09,1.8,0,,
1.80E-08,1.8, , , ,4.24E-09,1.8,0,,
1.80E-08,1.8, , , ,4.24E-09,1.8,0,,
1.80E-08,1.8, , , ,4.25E-09,1.8,0,,
1.79E-08,1.8, , , ,4.25E-09,1.8,0,,
1.77E-08,1.8, , , ,4.26E-09,1.8,0,,
1.76E-08,1.8, , , ,4.27E-09,1.8,0,,
1.68E-08,1.8, , , ,4.28E-09,1.8,0,,
1.66E-08,1.8, , , ,4.29E-09,1.8,0,,
1.66E-08,1.8, , , ,4.30E-09,1.8,0,,
1.66E-08,1.8, , , ,4.32E-09,1.8,0,,
1.66E-08,1.8, , , ,4.32E-09,1.8,0,,
1.67E-08,1.8, , , ,4.34E-09,1.8,0,,
1.67E-08,1.8, , , ,4.35E-09,1.8,0,,
1.67E-08,1.8, , , ,4.36E-09,1.8,0,,
1.67E-08,1.8, , , ,4.37E-09,1.8,0,,
1.67E-08,1.8, , , ,4.38E-09,1.8,0,,
1.67E-08,1.8, , , ,4.40E-09,1.8,0,,
1.67E-08,1.8, , , ,4.41E-09,1.8,0,,
1.67E-08,1.8, , , ,4.43E-09,1.8,0,,
1.68E-08,1.8, , , ,4.45E-09,1.8,0,,
1.66E-08,1.8, , , ,4.47E-09,1.8,0,,
1.68E-08,1.8, , , ,4.49E-09,1.8,0,,
1.68E-08,1.8, , , ,4.50E-09,1.8,0,,
1.68E-08,1.8, , , ,4.51E-09,1.8,0,,
1.68E-08,1.8, , , ,4.53E-09,1.8,0,,
1.68E-08,1.8, , , ,4.54E-09,1.8,0,,
1.69E-08,1.8, , , ,4.55E-09,1.8,0,,
1.69E-08,1.8, , , ,4.56E-09,1.8,0,,
1.69E-08,1.8, , , ,4.57E-09,1.8,0,,
1.70E-08,1.8, , , ,4.58E-09,1.8,0,,
1.71E-08,1.8, , , ,4.59E-09,1.8,0,,
1.71E-08,1.8, , , ,4.61E-09,1.8,0,,
1.72E-08,1.8, , , ,4.63E-09,1.8,0,,
1.64E-08,1.8, , , ,4.65E-09,1.8,0,,
1.63E-08,1.8, , , ,4.66E-09,1.8,0,,
1.63E-08,1.8, , , ,4.68E-09,1.8,0,,
1.63E-08,1.8, , , ,4.70E-09,1.8,0,,
1.63E-08,1.8, , , ,4.71E-09,1.8,0,,
1.63E-08,1.8, , , ,4.72E-09,1.8,0,,
1.63E-08,1.8, , , ,4.73E-09,1.8,0,,
1.63E-08,1.8, , , ,4.74E-09,1.8,0,,
1.63E-08,1.8, , , ,4.76E-09,1.8,0,,
1.63E-08,1.8, , , ,4.77E-09,1.8,0,,
1.63E-08,1.8, , , ,4.78E-09,1.8,0,,
1.64E-08,1.8, , , ,4.79E-09,1.8,0,,
1.64E-08,1.8, , , ,4.81E-09,1.8,0,,
1.64E-08,1.8, , , ,4.83E-09,1.8,0,,
2.01E-08,1.8, , , ,4.85E-09,1.8,0,,
1.64E-08,1.8, , , ,4.87E-09,1.8,0,,
1.64E-08,1.8, , , ,4.90E-09,1.8,0,,
1.64E-08,1.8, , , ,4.94E-09,1.8,0,,
1.65E-08,1.8, , , ,5.00E-09,1.8,0,,
1.65E-08,1.8, , , ,5.07E-09,1.8,0,,
1.65E-08,1.8, , , ,5.13E-09,1.8,0,,
1.65E-08,1.8, , , ,5.18E-09,1.8,0,,
1.65E-08,1.8, , , ,5.25E-09,1.8,0,,
1.65E-08,1.8, , , ,5.30E-09,1.8,0,,
