Expression ,Value,time (s),/Bin<0> (V),/Ain<0> (V),/Bin<1> (V),/Ain<1> (V)
 , ,4.572E-9,0.000,0.000,0.000,0.000
 , ,4.580E-9,0.000,0.000,0.000,0.000
 , ,4.592E-9,0.000,0.000,0.000,0.000
 , ,4.603E-9,0.000,0.000,0.000,0.000
 , ,4.617E-9,0.000,0.000,0.000,0.000
 , ,4.631E-9,0.000,0.000,0.000,0.000
 , ,4.644E-9,0.000,0.000,0.000,0.000
 , ,4.657E-9,0.000,0.000,0.000,0.000
 , ,4.675E-9,0.000,0.000,0.000,0.000
 , ,4.689E-9,0.000,0.000,0.000,0.000
 , ,4.706E-9,0.000,0.000,0.000,0.000
 , ,4.725E-9,0.000,0.000,0.000,0.000
 , ,4.752E-9,0.000,0.000,0.000,0.000
 , ,4.789E-9,0.000,0.000,0.000,0.000
 , ,4.840E-9,0.000,0.000,0.000,0.000
 , ,4.901E-9,0.000,0.000,0.000,0.000
 , ,4.961E-9,0.000,0.000,0.000,0.000
 , ,5.029E-9,0.000,0.000,0.000,0.000
 , ,5.103E-9,0.000,0.000,0.000,0.000
 , ,5.175E-9,0.000,0.000,0.000,0.000
 , ,5.245E-9,0.000,0.000,0.000,0.000
 , ,5.346E-9,0.000,0.000,0.000,0.000
 , ,5.452E-9,0.000,0.000,0.000,0.000
 , ,5.566E-9,0.000,0.000,0.000,0.000
 , ,5.692E-9,0.000,0.000,0.000,0.000
 , ,5.847E-9,0.000,0.000,0.000,0.000
 , ,6.000E-9,14.89E-15,14.89E-15,14.89E-15,14.89E-15
 , ,6.006E-9,112.5E-3,112.5E-3,112.5E-3,112.5E-3
 , ,6.017E-9,298.2E-3,298.2E-3,298.2E-3,298.2E-3
 , ,6.025E-9,449.3E-3,449.3E-3,449.3E-3,449.3E-3
 , ,6.029E-9,514.8E-3,514.8E-3,514.8E-3,514.8E-3
 , ,6.036E-9,645.7E-3,645.7E-3,645.7E-3,645.7E-3
 , ,6.041E-9,744.6E-3,744.6E-3,744.6E-3,744.6E-3
 , ,6.048E-9,860.4E-3,860.4E-3,860.4E-3,860.4E-3
 , ,6.054E-9,969.7E-3,969.7E-3,969.7E-3,969.7E-3
 , ,6.058E-9,1.043,1.043,1.043,1.043
 , ,6.063E-9,1.128,1.128,1.128,1.128
 , ,6.066E-9,1.190,1.190,1.190,1.190
 , ,6.070E-9,1.263,1.263,1.263,1.263
 , ,6.074E-9,1.339,1.339,1.339,1.339
 , ,6.079E-9,1.426,1.426,1.426,1.426
 , ,6.086E-9,1.542,1.542,1.542,1.542
 , ,6.094E-9,1.689,1.689,1.689,1.689
 , ,6.100E-9,1.800,1.800,1.800,1.800
 , ,6.102E-9,1.800,1.800,1.800,1.800
 , ,6.106E-9,1.800,1.800,1.800,1.800
 , ,6.109E-9,1.800,1.800,1.800,1.800
 , ,6.113E-9,1.800,1.800,1.800,1.800
 , ,6.118E-9,1.800,1.800,1.800,1.800
 , ,6.123E-9,1.800,1.800,1.800,1.800
 , ,6.127E-9,1.800,1.800,1.800,1.800
 , ,6.133E-9,1.800,1.800,1.800,1.800
 , ,6.139E-9,1.800,1.800,1.800,1.800
 , ,6.147E-9,1.800,1.800,1.800,1.800
 , ,6.155E-9,1.800,1.800,1.800,1.800
 , ,6.164E-9,1.800,1.800,1.800,1.800
 , ,6.175E-9,1.800,1.800,1.800,1.800
 , ,6.184E-9,1.800,1.800,1.800,1.800
 , ,6.192E-9,1.800,1.800,1.800,1.800
 , ,6.196E-9,1.800,1.800,1.800,1.800
 , ,6.200E-9,1.800,1.800,1.800,1.800
 , ,6.202E-9,1.800,1.800,1.800,1.800
 , ,6.205E-9,1.800,1.800,1.800,1.800
 , ,6.207E-9,1.800,1.800,1.800,1.800
 , ,6.211E-9,1.800,1.800,1.800,1.800
 , ,6.216E-9,1.800,1.800,1.800,1.800
 , ,6.222E-9,1.800,1.800,1.800,1.800
 , ,6.225E-9,1.800,1.800,1.800,1.800
 , ,6.229E-9,1.800,1.800,1.800,1.800
 , ,6.233E-9,1.800,1.800,1.800,1.800
 , ,6.237E-9,1.800,1.800,1.800,1.800
 , ,6.241E-9,1.800,1.800,1.800,1.800
 , ,6.246E-9,1.800,1.800,1.800,1.800
 , ,6.252E-9,1.800,1.800,1.800,1.800
 , ,6.260E-9,1.800,1.800,1.800,1.800
 , ,6.266E-9,1.800,1.800,1.800,1.800
 , ,6.271E-9,1.800,1.800,1.800,1.800
 , ,6.276E-9,1.800,1.800,1.800,1.800
 , ,6.280E-9,1.800,1.800,1.800,1.800
 , ,6.287E-9,1.800,1.800,1.800,1.800
 , ,6.293E-9,1.800,1.800,1.800,1.800
 , ,6.299E-9,1.800,1.800,1.800,1.800
 , ,6.309E-9,1.800,1.800,1.800,1.800
 , ,6.320E-9,1.800,1.800,1.800,1.800
 , ,6.332E-9,1.800,1.800,1.800,1.800
 , ,6.342E-9,1.800,1.800,1.800,1.800
 , ,6.349E-9,1.800,1.800,1.800,1.800
 , ,6.358E-9,1.800,1.800,1.800,1.800
 , ,6.365E-9,1.800,1.800,1.800,1.800
 , ,6.376E-9,1.800,1.800,1.800,1.800
 , ,6.385E-9,1.800,1.800,1.800,1.800
 , ,6.395E-9,1.800,1.800,1.800,1.800
 , ,6.408E-9,1.800,1.800,1.800,1.800
 , ,6.419E-9,1.800,1.800,1.800,1.800
 , ,6.434E-9,1.800,1.800,1.800,1.800
 , ,6.443E-9,1.800,1.800,1.800,1.800
 , ,6.454E-9,1.800,1.800,1.800,1.800
 , ,6.462E-9,1.800,1.800,1.800,1.800
 , ,6.474E-9,1.800,1.800,1.800,1.800
 , ,6.480E-9,1.800,1.800,1.800,1.800
 , ,6.486E-9,1.800,1.800,1.800,1.800
 , ,6.492E-9,1.800,1.800,1.800,1.800
 , ,6.498E-9,1.800,1.800,1.800,1.800
 , ,6.504E-9,1.800,1.800,1.800,1.800
 , ,6.514E-9,1.800,1.800,1.800,1.800
 , ,6.525E-9,1.800,1.800,1.800,1.800
 , ,6.542E-9,1.800,1.800,1.800,1.800
 , ,6.551E-9,1.800,1.800,1.800,1.800
 , ,6.559E-9,1.800,1.800,1.800,1.800
