Expression ,Value,time (s),/Bin<1> (V),/Ain<1> (V),/Ain<0> (V),/Bin<0> (V)
 , ,4.894E-9,0.000,1.800,0.000,1.800
 , ,4.937E-9,0.000,1.800,0.000,1.800
 , ,4.993E-9,0.000,1.800,0.000,1.800
 , ,5.056E-9,0.000,1.800,0.000,1.800
 , ,5.120E-9,0.000,1.800,0.000,1.800
 , ,5.176E-9,0.000,1.800,0.000,1.800
 , ,5.244E-9,0.000,1.800,0.000,1.800
 , ,5.294E-9,0.000,1.800,0.000,1.800
 , ,5.393E-9,0.000,1.800,0.000,1.800
 , ,5.495E-9,0.000,1.800,0.000,1.800
 , ,5.606E-9,0.000,1.800,0.000,1.800
 , ,5.722E-9,0.000,1.800,0.000,1.800
 , ,5.861E-9,0.000,1.800,0.000,1.800
 , ,6.000E-9,14.89E-15,1.800,14.89E-15,1.800
 , ,6.008E-9,146.3E-3,1.800,146.3E-3,1.800
 , ,6.020E-9,367.7E-3,1.800,367.7E-3,1.800
 , ,6.027E-9,480.2E-3,1.800,480.2E-3,1.800
 , ,6.032E-9,571.1E-3,1.800,571.1E-3,1.800
 , ,6.039E-9,693.6E-3,1.800,693.6E-3,1.800
 , ,6.044E-9,789.0E-3,1.800,789.0E-3,1.800
 , ,6.049E-9,874.2E-3,1.800,874.2E-3,1.800
 , ,6.054E-9,967.8E-3,1.800,967.8E-3,1.800
 , ,6.058E-9,1.042,1.800,1.042,1.800
 , ,6.064E-9,1.146,1.800,1.146,1.800
 , ,6.070E-9,1.258,1.800,1.258,1.800
 , ,6.077E-9,1.385,1.800,1.385,1.800
 , ,6.087E-9,1.558,1.800,1.558,1.800
 , ,6.093E-9,1.679,1.800,1.679,1.800
 , ,6.100E-9,1.800,1.800,1.800,1.800
 , ,6.102E-9,1.800,1.758,1.800,1.758
 , ,6.106E-9,1.800,1.696,1.800,1.696
 , ,6.109E-9,1.800,1.639,1.800,1.639
 , ,6.113E-9,1.800,1.559,1.800,1.559
 , ,6.119E-9,1.800,1.461,1.800,1.461
 , ,6.125E-9,1.800,1.346,1.800,1.346
 , ,6.131E-9,1.800,1.237,1.800,1.237
 , ,6.138E-9,1.800,1.115,1.800,1.115
 , ,6.145E-9,1.800,982.2E-3,1.800,982.2E-3
 , ,6.155E-9,1.800,813.2E-3,1.800,813.2E-3
 , ,6.166E-9,1.800,605.0E-3,1.800,605.0E-3
 , ,6.176E-9,1.800,425.4E-3,1.800,425.4E-3
 , ,6.186E-9,1.800,243.7E-3,1.800,243.7E-3
 , ,6.193E-9,1.800,121.8E-3,1.800,121.8E-3
 , ,6.200E-9,1.800,6.217E-15,1.800,6.217E-15
 , ,6.202E-9,1.800,0.000,1.800,0.000
 , ,6.205E-9,1.800,0.000,1.800,0.000
 , ,6.208E-9,1.800,0.000,1.800,0.000
 , ,6.212E-9,1.800,0.000,1.800,0.000
 , ,6.216E-9,1.800,0.000,1.800,0.000
 , ,6.219E-9,1.800,0.000,1.800,0.000
 , ,6.222E-9,1.800,0.000,1.800,0.000
 , ,6.225E-9,1.800,0.000,1.800,0.000
 , ,6.228E-9,1.800,0.000,1.800,0.000
 , ,6.232E-9,1.800,0.000,1.800,0.000
 , ,6.236E-9,1.800,0.000,1.800,0.000
 , ,6.240E-9,1.800,0.000,1.800,0.000
 , ,6.245E-9,1.800,0.000,1.800,0.000
 , ,6.251E-9,1.800,0.000,1.800,0.000
